7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?	THE SIMPSONS MOVIE
In 1989,a 7.1 magnitude earthquake shook what World Series host city just before Game 3?	SAN FRANCISCO
In 1990, George H.W. Bush signed the U.S. Interstate System after what President?	DWIGHT D. EISENHOWER
In 1990,the SkyMall catalog was launched to target shoppers where?	ON AIRPLANES
In 1994, Texas native Tom Ford began his legendary tenure as creative director of what Italian label?	GUCCI
In 1994,seventeen-year-old Laetitia Thompson asked Bill Clinton the famous question, “Is It” what?	BOXERS OR BRIEFS?
In 1994,the author of the sci-fi collection “I Robot” had a posthumous memoir released,titled what?	I. ASIMOV
In 1994,what country singer adapted her hit song “Coat of Many Colors” into a children’s book?	DOLLY PARTON
In 1995, what country created the Truth and Reconciliation Commission to examine its past?	SOUTH AFRICA
In 1995,what Muppet debuted his signature cologne,a scent called “Amphibia”?	KERMIT THE FROG
In 1996,Olympic gymnast Kerri Strug landed her gold-medal-clinching vault despite what injury?	SPRAINED ANKLE
In 1997, what state passed a law allowing its residents to cast absentee ballots from space?	TEXAS
In 1997,what pro sport officially retired the number 42,the uniform number worn by Jackie Robinson?	BASEBALL
In 1998, Gus Van Sant directed Vince Vaughn in a shot-by-shot remake of what classic Hitchcock thriller?	PSYCHO
In 1999,the current world record for the mile was set by a man running at approximately what speed?	16 MPH
In 1999,the RIAA created what award to recognize albums that have sold more than 10 million copies?	DIAMOND
In 2000, Van Heusen launched its “Regis” line, featuring paired shirts and ties that were what?	MONOCHROMATIC
In 2000,a former member of what family band gave his newborn son the punny name “Jermajesty”?	THE JACKSON FIVE
In 2001, which of these people was named Honorary Sergeant, Regular Army by President Clinton?	SACAGAWEA
In 2001,Utah invited Bill Cosby to help announce what food as its official state snack?	JELL-O
In 2001,what author of “The CORRECTions” created controversy when he snubbed Oprah’s Book Club?	JONATHAN FRANZEN
In 2003, R & B singer Kelis released a hit single named after what tasty treat?	MILKSHAKE
In 2003,what country became the third,after the U.S. and Russia,to launch a person into space aboard its own rocket?	CHINA
In 2004, the FDA approved Botox injections as a treatment for what?	EXCESSIVE SWEATING
In 2004, who spawned a rubber-bracelet trend by selling yellow wristwear to raise money for charity?	LANCE ARMSTRONG
In 2004,Douglas Hamilton and Antonio Burr reenacted what 1804 event between their ancestors?	DUEL
In 2004,what agency got thousands of complaints about Janet Jackson’s halftime performance at the Super Bowl?	FCC *CORRECT*
In 2004,what awards show instituted a five-second tape delay on the 30th anniversary of a famous streaking incident?	OSCARS
In 2005, Dan Rather concluded his final show as a CBS news anchor with what familiar sign-off?	COURAGE
In 2005, W. Mark Felt revealed himself to be “Deep Throat,” the long-anonymous source in what scandal?	WATERGATE
In 2006, Russell Crowe and his wife named their newborn baby boy Tennyson, after a famous what?	POET
In 2006,Nouri al-Maliki became known worldwide when he assumed what post?	IRAQI PRIME MINISTER
In 2006,the International Astronomical Union downgraded Pluto from planet to what lesser celestial body?	DWARF PLANET
In 2007, Forest Whitaker won the Oscar for portraying Idi Amin, the former dictator of what country?	UGANDA
In 2007, John Denver’s “Rocky Mountain High” became an official state song of what U.S. state?	COLORADO
In 2007, the Moldy Peaches hit it big after its ballad “Anyone Else But You” was featured in what film?	JUNO
In 2007, what comedian replaced Bob Barker as host of “The Price is Right”?	DREW CAREY
In 2007, what TV actor’s daughter released a video of her intoxicated father attempting to eat a hamburger?	DAVID HASSELHOFF
In 2007, what “Grey’s Anatomy” character “spunoff” from the show to join a friend’s medical group in L.A.?	ADDISON MONTGOMERY
In 2007,Barry Bonds broke Hank Aaron’s career home run record while playing for what MLB team?	SAN FRANCISCO GIANTS
In 2007,protesting college student Andrew Meyer won lasting Internet fame by shouting what at university police?	“DON’T TASE ME, BRO!”
In 2007,the Plain White T’s scored a #1 hit with an infectious love song titled “Hey There” what?	DELILAH
In 2007,what singer revealed that Caroline Kennedy was the inspiration for one of his 1969 hit songs?	NEIL DIAMOND
In 2007,what U.S. state acknowledged the town of Robstown as the birthplace of the “Hold ‘Em” style of poker?	TEXAS
In 2008, a high-profile sex scandal centered on the exposure of what elected official as “Client 9”?	NEW YORK GOVERNOR
In 2008, archaeologists in Jordan announced the possible discovery of what biblical figure’s fabled mines?	KING SOLOMON
In 2008, Eva Longoria opened a Los Angeles restaurant named Beso, Spanish for what?	KISS
In 2008, George W. Bush ducked twice when an Iraqi journalist threw what at his head?	SHOES
In 2008, who became the first rock musician ever to be awarded a Pulitzer Prize?	BOB DYLAN
In 2008, “Saved by the Bell” alum Mario Lopez became host of what entertainment news show?	EXTRA
In 2008, “Subway Guy” Jared Fogle went on a “Tour de Pants” to raise awareness about what issue?	CHILDHOOD OBESITY
In 2008, “Subway Guy” Jared Fogle went on “Tour de Pants” to raise awareness about what issue?	CHILDHOOD OBESITY
In 2008,Jeremy Piven quit a Broadway play,blaming Mercury poisoning he got from eating too much what?	SUSHI
In 2009, after decades of secrecy, Mrs. Butterworth’s first name was revealed to be what?	JOY
In 2009, Chicago’s famed Sear’s Tower officially changed its name to what?	WILLIS TOWER
In 2009, China surpassed what country to become the world’s leading consumer of energy?	UNITED STATES
In 2009, disgraced financier Bernie Madoff was sentenced to how many years in prison?	150
In 2009, Heath Ledger won an Oscar for a role played twenty years earlier by whom?	JACK NICHOLSON
In 2009, Jimmy Fallon vainly attempted to reunite the cast of what series?	SAVED BY THE BELL
In 2009, Lego introduced a new toy model made of what architect’s iconic Guggenheim Museum?	FRANK LLOYD WRIGHT
In 2009, Scotland allowed convicted Lockerbie bomber Abdel Basset to return to what home country?	LIBYA
In 2009, the Fiesta of San Fermin in Pamplona, Spain, held its first look-alike contest honoring what author?	ERNEST HEMINGWAY
In 2009, the International Olympic Committee named what city as the host of the 2016 games?	RIO DE JANEIRO
In 2009, the U.S. Navy rescued Captain Richard Phillips from pirates off the coast of what nation?	SOMALIA
In 2009, Utah’s Fitness Ridge Resort & Spa teamed up with a popular reality show and renamed itself what?	THE BIGGEST LOSER RESORT
In 2009, what country’s runaway inflation led their reserve bank to issue 100 trillion dollar bills?	ZIMBABWE
In 2009, what major corporation changed its slogan to “More saving. More doing.” to reflect the times?	HOME DEPOT
In 2009, what pizza chain revamped its recipe amid customer complaints that their old crust tasted “like cardboard”?	DOMINO’S
In 2009, what pro athlete launched his own TV show in which he tackles other pros at their jobs?	SHAQUILLE O’NEAL
In 2009, which of these “Family Guy” characters moved to Stoolbend, VA to star in his own spin-off?	CLEVELAND BROWN
In 2009,astronomers discovered a “supersized” ring around what planet,much further away than its other known rings?	SATURN
In 2009,Barack Obama completed his much-hyped first 100 days in office on the 29th of what month?	APRIL
In 2009,Crystal Renn released her book “Hungry,” which chronicles her experiences as a what?	PLUS-SIZE MODEL
In 2009,England’s Prince Harry made his first official visit to the U.S. to participate in what charity event?	POLO MATCH
In 2009,Utah’s Fitness Ridge Resort & Spa teamed up with a popular reality show and renamed itself what?	THE BIGGEST LOSER RESORT
In 2009,what politician released a much-anticipated memoir titled “Going Rogue:An American Life”?	SARAH PALIN
In 2009,what rapper beat Elvis Presley’s record for most No.1 albums on the Billboard charts by a solo artist?	JAY-Z
In 2009,what U.S. president was on hand as an 11-foot statue honoring him was unveiled in Kosovo?	BILL CLINTON
In 2009,which of these singers released a men’s cologned called “Southern Blend”?	TIM MCGRAW
In 2010 Jeff Bridges received a Best Actor Oscar for his performance as Bad Blake, who is a what?	COUNTRY SINGER
In 2010 President Obama and a former NBA athlete played what fitting version of the game H-O-R-S-E?	P-O-T-U-S
In 2010 what sitcom aired a live episode featuring Julia Lewis-Drayfus as “Liz Lemon” in flashbacks?	30 ROCK
In 2010 what TV host changed his time slot from 11:00 to midnight to accommodate Conan O’Brien?	GEORGE LOPEZ
In 2010 who became the first living person to acquire more than 10 million fans on Facebook?	LADY GAGA
In 2010, a British government official praised which of these TV actresses as a curvy role model for women?	CHRISTINA HENDRICKS
In 2010, a fed-up flight attendant on what airline dramatically deplaned via an inflatable emergency chute?	JET BLUE
In 2010, a U.S. assemblyman advocated a bill to allow the “Spanish pronunciation” of what state’s name?	NEVADA
In 2010, actress Portia de Rossi petitioned to legally change her last name to what?	DEGENERES
In 2010, after a young fan asked for help with a “mutiny,” Johnny Depp visited a U.K. school dressed as what character?	CAPTAIN JACK SPARROW
In 2010, an out-of-control Amish teenager led police on a wild one-mile chase involving what?	HORSE-DRAWN BUGGY
In 2010, Apple introduces a video calling service for the iphone 4 with what snappy name?	FACETIME
In 2010, Elian Gonzalez announced he was thankful he had returned to what homeland 10 years earlier?	CUBA
In 2010, for the first time in 27 years, the House of Reps censured one of its members, Charlie Rangel of what state?	NEW YORK
In 2010, Louise Brown, the world’s first “test tube baby” turned what age?	32
In 2010, Nicki Minaj became the first woman ever named to MTVs list of “hottest” what?	MCs
In 2010, Oprah hosted a reunion special for “The Color Purple,” in which she talked about playing what role?	SOFIA
In 2010, Reba McEntire won praise for cover of “If I Were a Boy,” originally a hit single by whom?	BEYONCE
In 2010, Russell Brand and Katy Perry were quietly married near what country’s Rathambore tiger sanctuary?	INDIA
In 2010, Target recalled a T-shirt featuring the now-banned flag of what country’s Francoist regime?	SPAIN
In 2010, the Pentagon estimated that which poor nation is home to $1 trillion in untapped precious minerals?	AFGHANISTAN
In 2010, Time.com announced the retirement of Takeru “Tsunami” Kobayashi, a legend in what field?	COMPETITIVE EATING
In 2010, TV personality Jo Frost announced her retirement from what popular reality show?	SUPERNANNY
In 2010, what actress became a mother again at the age of 48 when she gave birth to a boy named Benjamin?	KELLY PRESTON
In 2010, what actress helped her 3-year old son launch his own Twitter account “Liam’s World?”	TORI SPELLING
In 2010, what author revealed that he was writing his memoir about his years living under a “fatwa” death sentence?	SALMAN RUSHDIE
In 2010, what comedienne became the first woman in 16 years to host MTV’s Video Music Awards?	CHELSEA HANDLER
In 2010, what company’s founder surprisingly donated $100 million to the public schools of Newark, NJ?	FACEBOOK
In 2010, what country’s cultural minister banned mullets and ponytails for men as being “decadent”?	IRAN
In 2010, what formerly married couple announced their respective engagements within days of each other?	JESSICA SIMPSON & NICK LACHEY
In 2010, what Fortune 500 company overtook Royal Dutch Shell to become the largest in the world?	WALMART
In 2010, what openly graying sitcom star revealed, “I dyed my hair red the whole time I was on ‘Friends'”?	MATT LEBLANC
In 2010, what philanthropist announced plans to give away 99 percent of his estimated $47 billion fortune?	WARREN BUFFETT
In 2010, what political duo made headlines by divorcing after 40 years of marriage?	AL AND TIPPER GORE
In 2010, what snack brand unveiled a new bag that, when crinkled, is reportedly louder than a jet cockpit?	SUN CHIPS
In 2010, what “reality” show finale revealed that its last scene was actually filmed on a Hollywood set?	THE HILLS
In 2010, which of these figures was vilified for his seemingly callous remark, “I’d like my life back”?	CEO OF BP
In 2010, who coined the term “mama grizzly” to refer to the female political candidates she endorses?	SARAH PALIN
In 2010, Whole Foods pulled what beverage from its shelves amid concerns over its high alcohol content?	KOMBUCHA
In 2010, “Survivor:Nicaragua” was won by Jud Birza,a 21-year-old male model with with apt nickname?	FABIO
In 2010,a single violinist set a world record by playing what frenetic classical piece in just over one minute?	FLIGHT OF THE BUMBLEBEE
In 2010,actor Steve Carell announced he was leaving what TV show after the 2010/2011 season?	THE OFFICE
In 2010,Alaska’s Lisa Murkowski became the first senate candidate since 1954 to do what?	WIN AS A WRITE-IN CANDIDATE
In 2010,an Oregon man changed his name to “Captain Awesome” in honor of a character from what TV show?	CHUCK
In 2010,an out-of-control Amish teenager led police on a wild one-mile chase while driving a what?	HORSE-DRAWN BUGGY
In 2010,Angus T.Jones topped the list of “TV’s Richest Kids” for playing Jake Harper on what sitcom?	TWO AND A HALF MEN
In 2010,Barbara Walters joked she chose a cow valve for her heart surgery over one from what non-kosher animal?	PIG
In 2010,country star Kenny Chesney’s 40-acre home was all wet when floods washed over what city?	NASHVILLE
In 2010,Doris Roberts reunited with “Raymond” castmate Patricia Heaton when she guest starred on what sitcom?	THE MIDDLE
In 2010,Pennsylvania introduced machines that check customers’ breath and ID before vending what?	WINE
In 2010,Rhonda Byrne released “The Power,” a follow-up to what controversial 2006 self-help book?	THE SECRET
In 2010,Robert Halderman was sentenced to six months in jail for attempting to blackmail what late night comic?	DAVID LETTERMAN
In 2010,the long-running “Cathy” comic strip ended,with Cathy making what revelation?	SHE’S HAVING A BABY GIRL
In 2010,the media reported “World War I Officially Ends” after what country paid off its $33 billion war debt?	GERMANY
In 2010,the New York Post reported a bank robber dressed as whom made off with an “Alderaan-sized wad of cash”?	DARTH VADER
In 2010,the space shuttle Atlantis honored Isaac Newton by carrying what into space?	A PIECE OF AN APPLE TREE
In 2010,the Triple-A team known as the Bisons celebrated its 125th season of professional baseball in what town?	BUFFALO,NY
In 2010,two-year old Indonesian Ardi Rizal gained worldwide notoriety for doing what?	SMOKING 40 CIGARETTES PER DAY
In 2010,video game fanatics lined up at midnight to buy the “Black Ops” sequel in what popular game series?	CALL OF DUTY
In 2010,what 37-year-old model resigned her 13-year post as “Head Angel” of Victoria’s Secret?	HEIDI KLUM
In 2010,what comic’s live talk about his novel “An Object of Beauty” was deemed so boring guests were offered refunds?	STEVE MARTIN
In 2010,what country saw its first official state visit by a pope since breaking with the Vatican in 1534?	ENGLAND
In 2010,what food mascot was given a makeover and new voice,courtesy of Robert Downey Jr.?	MR.PEANUT
In 2010,what nation began a “convictourism” program to attract foreigners descended from long-ago prisoners?	AUTRALIA
In 2010,what right-wing pundit started TheBlaze.com,his own conservative news website?	GLENN BECK
In 2010,what Senate hopeful released an odd political ad in which she declared,”I’m not a witch”?	CHRISTINE O’DONNELL
In 2010,what singer released an album featuring a philharmonic orchestra,aptly titled “Symphonicities”?	STING
In 2010,what teen pop star’s fragrance line “My World”,debuted on scented wristbands at Walmart?	JUSTIN BIEBER
In 2010,what word did Gawker coin for a star getting a “career bump without actually being an addict”?	PREHAB
In 2010,what “tell-it-like-it-is” comedian replaced John O’Hurley as the host of TV’s “Family Feud”?	STEVE HARVEY
In 2011, a religiously devout programmer released “Confession,” an iPhone app with what subtitle?	A ROMAN CATHOLIC APP
In 2011, Newsweek artificially “aged” a photo of Princess Diana to suggest what she might have looked like at what age?	50
In 2011, Rolling Stone named “Tubthumping,” “Barbie Girl” and “I’m Too Sexy” among the “Worst Songs of” what decade?	THE NINETIES
In 2011, the child of what U.S. president released a timely memoir called “My Father at 100”?	RONALD REAGAN
In 2011, the Oxford English Dictionary added an entry for “Dutch colonial,” a term used to designate a style of what?	ARCHITECTURE
In 2011, TheOnion.com joked that what cereal was now being sold with “15 Percent Less Leprechaun Meat”?	LUCKY CHARMS
In 2011, Time Magazine named what movie’s Jack Torrance as the “Worst Fictional Father” of all time?	THE SHINING
In 2011, what British reality TV judge replaced Larry King upon his retirement from his nightly CNN show?	PIERS MORGAN
In 2011, what country elected its first ever female prime minister, Yingluck Shinawatra?	THAILAND
In 2011,a crashed truck in Georgia burst into flames because it was loaded with what highly flammable foodstuff?	MARGARINE
In 2011,a national poll found that only 51 percent of Republicans knew that GOP stands for what?	GRAND OLD PARTY
In 2011,a Utah KFC controversially donated $1 for every giant soda sold to help cure what sugar-sensitive disease?	DIABETES
In 2011,actor Luke Wilson,rapper Snoop Dogg and comedian Amy Poehler all turned what age?	40 *CORRECT*
In 2011,an actress identified only as “Jane Doe” sued the movie website IMDB.com for revealing her what?	AGE
In 2011,Charlene Wittstock was compared to Grace Kelly when she married Prince Albert II of what small state?	MONACO
In 2011,Derek Jeter became just the 28th player in the history of baseball to reach what number of career “hits”?	3000
In 2011,FOX announced plans to remake what immensely popular Carl Sagan-hosted science series from 1980?	COSMOS
In 2011,Google unveiled its new service Google+,meant to compete directly with what popular website?	FACEBOOK
In 2011,Google’s home page logo featured an interactive six-string electric guitar in honor of what music legend?	LES PAUL
In 2011,Heather Locklear announced her engagement to actor Jack Wagner,her co-star from what ’90s TV series?	MELROSE PLACE
In 2011,Italian cops caught the mob boss of the Sicilian town of Corleone,the namesake of the crime family in what film?	THE GODFATHER
In 2011,Jay Carney replaced Robert Gibbs as President Obama’s what?	PRESS SECRETARY
In 2011,Keithroy Yearwood revealed that he was the baby on the cover of what rapper’s 1994 album “Ready to Die”?	NOTORIOUS B.I.G.
In 2011,Lady Gaga’s single “Born This Way” was criticized as being a “rip-off” of what 1989 Madonna hit?	EXPRESS YOURSELF
In 2011,raging wildfires in New Mexico forced what highly fortified government compound to evacuate?	LOS ALAMOS NATIONAL LAB
In 2011,Rolling Stone named “Tubthumping,” “Barbie Girl” and “I’m Too Sexy” among the “Worst Songs of” what decade?	THE NINETIES
In 2011,Seth Rogen and Ryan Reynolds both played movie superheroes with what colorful word in their name?	GREEN
In 2011,Ted Danson replaced Laurence Fishburne on what popular crime drama?	CSI
In 2011,the Department of Homeland Security did away with using which of these to indicate terrorism threat levels?	COLORS
In 2011,the FDA banned the use of the words “waterproof” and “sweatproof” on what products’ labeling?	SUNSCREEN
In 2011,the Smithsonian acquired pieces from the set of what classic TV show and “hippest trip in America”?	SOUL TRAIN
In 2011,the U.S. Army announced that it was abandoning what type of hat as part of its official combat uniform?	BERET
In 2011,TNT announced Larry Hagman would return to play J.R. Ewing in a “sequel” to what classic show?	DALLAS
In 2011,what 66-year-old actress beat out Elle MacPherson to win L.A. Fitness’ “Body of the Year” poll?	HELEN MIRREN
In 2011,what animal-centric film released a straight-to-DVD prequel subtitled “The Puppy Years”?	MARLEY & ME
In 2011,what baseball Hall of Famer and Cardinals great was awarded the Presidential Medal of Freedom?	STAN MUSIAL
In 2011,what car-centric city experienced “Carmageddon” when its 405 freeway was shut down for repairs?	LOS ANGELES
In 2011,what classic ’80s movie was adapted into a television series on MTV?	TEEN WOLF
In 2011,what country announced plans to close its notorious marijuana-peddling “coffee shops” to tourists?	THE NETHERLANDS
In 2011,what late night funnyman consented to an on-air beard shaving by Will Ferrell?	CONAN O’BRIEN
In 2011,what media mogul found himself in the center of a widespread phone-hacking scandal?	RUPERT MURDOCH
In 2011,what name didn’t make Social Security’s list of Popular Baby Names for the first time since 1955?	ELVIS
In 2011,what secretive leader revealed that he had actually relinquished his powers to his brother back in 2006?	FIDEL CASTRO
In 2011,what Supreme Court justice opened up to the public about what it’s like to grow up with type 1 diabetes?	SONIA SOTOMAYOR
In 2011,what TV actor’s costar quipped that he checks gossip news every day “to know if I have to go to work at all”?	CHARLIE SHEEN
In 2012,Obama impressed spectators with his smooth vocals when he crooned “I’m so in love with you” from what song?	LET’S STAY TOGETHER
In 2012,pop icon Beyonce gave birth to a daughter with what colorful,unusual name?	BLUE IVY
In 2012,the daughter of which of these actors earned a “ticket to Hollywood” on “American Idol”?	JIM CARREY
In 2012,the Girl Scouts marked their 100th anniversary with what new cookie,named for their founder’s hometown?	SAVANNAH SMILES
In 2012,what celebrity chef stepped forward to reveal that she had been living with type-2 diabetes for years?	PAULA DEEN
In 218 B.C., Hannibal and his army famously crossed	ALPS
In 79 A.D., what major catastrophe resulted in the burial of the Roman cities of Pompeii and Herculaneum?	VOLCANIC ERUPTION
In a criminal investigation, a person who is not quite a suspect but still sought by the police is often called a what?	PERSON OF INTEREST
In a 1970 hit song, James Taylor sings, “I’ve seen fire and I’ve seen” what?	RAIN
In a 1970 song by The Partridge Family, David Cassidy croons, “I think I” what?	LOVE YOU
In a 1971 cult classic,what does an older woman say to a younger man when he says “I like you,Maude”?	I LIKE YOU,HAROLD
In a 1971 hit song, Tom Jones sings, “Whoa, whoa, whoa!” “She’s a” what?	LADY
In a 1974 Rolling Stones song,Mick Jagger sings, “I know it’s only” what “but I like it”?	ROCK ‘N’ ROLL
In a 1983 hit single,”backstreet guy” Billy Joel states his intention to woo what kind of “Girl”?	UPTOWN
In a 2002 hit, Grammy-winning artist John Mayer sings “your body is a” what?	WONDERLAND
In a 2003 bestselling novel, Mitch Albom writes about “The Five People You Meet” where?	IN HEAVEN
In a 2005 commencement speech at Stanford University, Steve Jobs famously told students to “Stay hungry, stay” what?	FOOLISH
In a 2005 hit single,a hip-hop star raps “Call me George Foreman ’cause I’m sellin’ everybody” what?	GRILLZ
In a 2006 film,it was revealed that which of these classic children’s book characters is actually named “Ted”?	THE MAN IN THE YELLOW HAT
In a 2006 hit single,Justin Timberlake repeatedly claims to be “bringing” what “back”?	SEXY
In a 2006 viral video,a Florida weatherman delivers a high-pitched squeal after encountering a what?	COCKROACH
In a 2007 movie, Nicholas Cage plays Johnny Blaze, a fiery vigilante who is better known by what name?	GHOST RIDER
In a 2008 book containing six-word memoirs, what celeb’s six-word memoir is “Brought it to a boil, often”?	MARIO BATALLI
In a 2008 interview, who did Oprah ask, “If you could take it back, would you still jump on the sofa?”	TOM CRUISE
In a 2009 documentary,comic Chris Rock examines the African-American fascination with what?	“GOOD HAIR”
In a 2010 performance at the White House,who serenaded the First Lady with his 1965 song “Michelle”?	PAUL MCCARTNEY
In a 2011 episode of “The View,” who confessed that she once worked as a phone sex operator?	WHOOPI GOLDBERG
In a 2011 lottery drawing,41,763 people each won $150 by playing the mysterious numbers featured on what TV show?	LOST
In a 2011 TV appearance,what rapper resorted to reading his own lyrics to “Don’t Stop The Party” from a cell phone?	WILL. I. AM
In a Beverly Cleary book, Ramona Quimby famously misunderstands the instruction to “sit here for the” what?	PRESENT
In a candid 2010 interview,Sylvester Stallone admitted that making which “Rocky” sequel was a “mistake”?	ROCKY V
In a case of life imitating art,Charlie Sheen admitted he took steroids to enhance his performance in what movie?	MAJOR LEAGUE
In a casino, someone who brings bad luck to a winning table is known as a what?	COOLER
In a classic arcade game, a dot-devouring Pac Man is plagued by four ghosts who have all but which of these names?	SLINKY
In a classic Biz Markie hip-hop song from 1989,the rapper sings in the chorus, “But you say he’s” what?	JUST A FRIEND
In a classic nursery rhyme,who did Peter,Peter Pumpkin Eater keep in a pumpkin shell?	HIS WIFE
In a classic series of TV ads, an unsuspecting customer’s coffee is secretly replaced with what brand?	FOLGERS
In a classic “Twilight Zone” episode,a woman undergoes surgery to look “normal” among people who look like what?	PIGS
In a cover of the song “Proud Mary,” Tina Turner sings “And we’re rolling,rolling,rolling on the” what?	RIVER
In a familiar expression of caution, what phrase typically precedes “Twice shy”?	ONCE BITTEN
In a famous ad campaign in the ’80s,what branch of the military wanted you to “be all you can be”?	ARMY
In a famous opera by Mozart, a young lover is protected by the “magical” powers of what musical instrument?	FLUTE
In a famous patriotic quote, Nathan Hale reportedly declared, “I only regret that I have but one” what “for my country”?	LIFE TO LOSE
In a famous poem by Edgar Allen Poe, what animal repeatedly quoths the word “nevermore”?	RAVEN
In a famous presidential speech,Franklin Roosevelt declared that Americans had a “rendezvous with” what?	DESTINY
In a famous Robert Frost poem,a traveler finds “two roads diverged in a wood” and chooses which one?	THE ONE LESS TRAVELED BY
In a famous scence from “Marathon Man,” Laurence Olivier tortures Dustin Hoffman,repeatedly asking him what?	IS IT SAFE?
In a famous scene from the 1981 film “Mommie Dearest,” Joan Crawford berates her daughter for using what?	WIRE HANGERS
In a formal place setting,where should a wine glass be positioned relative to the plate?	TOP RIGHT
In a highly contentious verdict,Casey Anthony was found not guilty on all but which of these charges in 2011?	LYING TO POLICE
In a hit song from 1982,Thomas Dolby revealed “She Blinded Me With” what?	SCIENCE
In a hit song from the 1987 movie “Dirty Dancing,” a man and woman croon “Now I’ve had” what?	THE TIME OF MY LIFE
In a hit song from the ’60s,a singer is “rockin’ and a-rollin'” and “rockin’ and a-rollin” over whom?	BARBARA ANN
In a key scene from “Gone With The Wind,” Scarlett says “As God is my witness,i’ll never be” what?	HUNGRY AGAIN
In a landmark congressional hearing, “Have you no sense of decency sir?” was asked of whom?	JOSEPH MCCARTHY
In a lavish 2010 ceremony, Bill and Hillary Clinton’s only child married a man with what first name?	MARC
In a memorable gaffe,the late Senator Ted Stevens famously referred to what technology as “a series of tubes”?	THE INTERNET
In a memorable scene from the 1987 comedy “Spaceballs,” President Skroob gives orders to do what?	“COMB THE DESERT!”
In a memorable scene from “Beverly Hills Cop,” what does Detective Axel Foley use to disable a car?	BANANAS
In a memorable scene from “Mad Men,” Don Draper pitches what actual name for a Kodak slide projector?	THE CAROUSEL
In a much-hyped 2010 event,Chelsea Clinton walked down the aisle in a wedding dress designed by whom?	VERA WANG
In a newspaper, the section devoted to a list of incidents reported by the local police is called what?	POLICE BLOTTER
In a newspaper,which of these features often contains a warning to readers called a “spoiler alert”?	MOVIE REVIEW
In a nod to her Spice Girl nickname, Melanie Brown’s 2010 reality TV series is subtitled what?	IT’S A SCARY WORLD
In a nod to her Spice Girl nickname,Melanie Brown’s 2010 reality series is subtitled what?	IT’S A SCARY WORLD
In a nod to his job,New York’s Port Authority Bus Station features an 8-foot-tall statue of what classic TV character?	RALPH KRAMDEN
In a nod to its home state of Pennsylvania, the “Keystone State,” what brand’s products have “keystone-shaped” labels?	HEINZ
In a nod to its setting,what TV show’s theme song is performed by a band called the Scrantones?	THE OFFICE
In a nod to one of Facebook’s most iconic features, a couple in 2011 gave their newborn daughter what first name?	SUBCOASTAL
In a nod to one of Facebook’s most iconic features, a couple in 2011 gave their newborn daughter what first name?	LIKE
In a nod to the bird depicted on its face, the dollar coin of Canada is affectionately known as what?	LOONIE
In a nod to the venue where they were traditionally worn,women’s gloves that extend to the elbow are called what?	OPERA GLOVES
In a non-leap year, April Fools’ Day would fall on what numerical day of the year?`	THE 91ST DAY
In a phrase credited to Thomas Carlyle,the field of economics is known by what gloomy nickname?	THE DISMAL SCIENCE
In a pinch,which of these pantry staples can be used to put out a kitchen fire?	BAKING SODA
In a popular version of the children’s tune “The Wheels on the Bus,” the “driver on the bus says” what?	MOVE ON BACK
In a popular ’80s cartoon,what creatures often sing a catchy tune with the simple lyrics “La la la la la la,la la la la la”?	THE SMURFS
In a popular ’80s TV theme,”you take the good,you take the bad,you take them both,and there you have” what?	THE FACTS OF LIFE
In a public statement,Justin Timberlake famously blamed the 2004 Super Bowl halftime debacle on what?	WARDROBE MALFUNCTION
In a recent fast food survey by Zagat,Five Guys defeated In-N-Out in what category?	BEST BURGER
In a running joke,Bugs Bunny frequently finds himself in strange locations after taking a wrong turn in what city?	ALBUQUERQUE
In a song title on Michael Jackson’s 1982 “Thriller” album, what do the initials “P.Y.T.” stand for?	PRETTY YOUNG THING
In a standard Sudoku game, how many individual digits are there once the entire grid has been filled?	81
In a T-bone steak, the meat is attached to what “T”-shaped bone?	VERTEBRA
In a tradition inspired by the Bible, a sabbatical leave is usually taken once every how many years?	SEVEN
In a typical symphony orchestra,what instrument is played by more musicians than any other?	VIOLIN
In a V8 car engine,which of these components is arranged in a V-shaped pattern?	CYLINDER
In a Web Site address,what punctuation marks immediately precede the “www”?	FORWARD SLASHES
In a well-known expression.what two-word phrase typically follows the line “stick a fork in it”?	IT’S DONE
In a well-known PSA, “Take a bite out of crime” is the motto of what trench coat-wearing “Crime Dog”?	MCGRUFF
In a well-known scence from “Pretty Woman,” Julia Roberts’ character struggles with eating what delicacy?	ESCARGOT
In a Youtube hit, the indie band OK Go performs an elaborate dance routine using what unlikely props?	TREADMILLS
In addition to a golden globe,the Golden Globe Awards statuette features a what?	FILM STRIP
In addition to being a popular playground attraction,a seesaw is an example of what type of simple machine?	FIRST-CLASS LEVER
In addition to English,which of the following is an official language of Canada?	FRENCH
In addition to golf,what other pro sport also hosts a well-known tournament called the “U.S. Open”?	TENNIS
In addition to the weight of the human hand, the boy in “Jerry Maguire” also informs us that what animals “can smell fear”?	BEES AND DOGS
In advertisements,what cosmetics brand promotes itself as “Easy,breezy,beautiful”?	COVERGIRL
In Albert Einstein’s groundbreaking formula E=mc2, the “m” stands for what?	MASS
In Dante’s “The Divine Comedy,” a sign at Hell’s entrance instructs “ye who enter here” to do what?	ABANDON ALL HOPE
In Disney’s “Alice In Wonderland,” which extinct animal makes an appearance as a pipe-smoking nitwit?	DODO
